Season,League[15][20],League[15][20],League[15][20],League[15][20],League[15][20],League[15][20],League[15][20],League[15][20],League[15][20],Copa delRey[16],Europe[21][22][23][24],Europe[21][22][23][24],Other competitions[25][26][27][28][29][30],Other competitions[25][26][27][28][29][30],La Liga Top scorer[n 9],La Liga Top scorer[n 9]
Season,Division,Pos.,Pl.,W,D,L,GF,GA,Pts,Copa delRey[16],Europe[21][22][23][24],Europe[21][22][23][24],Other competitions[25][26][27][28][29][30],Other competitions[25][26][27][28][29][30],Name(s),Goals
1928–29,La Liga,1st,18,11,3,4,37,23,25,SF,,,,,Parera,11
1928–29,Camp. Cat.,3rd,10,5,2,3,23,13,12,SF,,,,,Parera,11
1929–30,La Liga,2nd,18,11,1,6,46,36,23,SF,,,,,Bestit,12
1929–30,Camp. Cat.,C,10,8,0,2,33,6,16,SF,,,,,Bestit,12
1930–31,La Liga,4th,18,7,7,4,40,43,21,R16,,,,,Arocha,16
1930–31,Camp. Cat.,C,10,8,1,1,34,10,17,R16,,,,,Arocha,16
1931–32,La Liga,3rd,18,10,4,4,40,26,24,F,,,,,Samitier,10
1931–32,Camp. Cat.,C,14,11,1,2,43,11,23,F,,,,,Samitier,10
1932–33,La Liga,4th,18,7,5,6,42,34,19,R32,,,,,Ramón,12
1932–33,Camp. Cat.,2nd,14,12,1,1,53,15,25,R32,,,,,Ramón,12
1933–34,La Liga,9th,18,8,0,10,42,40,16,QF,,,,,Ventolrà,14
1933–34,Camp. Cat.,3rd,14,9,2,3,36,19,20,QF,,,,,Ventolrà,14
1934–35,La Liga,6th,22,9,6,7,55,44,24,QF,,,,,Escolà,18
1934–35,Camp. Cat.,C,10,8,1,1,36,10,17,QF,,,,,Escolà,18
1935–36,La Liga,5th,22,11,2,9,39,32,24,F,,,,,Escolà,13
1935–36,Camp. Cat.,C,10,9,1,0,41,9,19,F,,,,,Escolà,13
1936-37,Camp. Cat.,2nd,10,5,2,3,24,16,12,,,,,,,
1937-38,Liga Catalana,C,17,4,1,2,86,26,29,,,,,,,
1937-38,Camp.Cat,C,14,10,1,3,42,13,21,,,,,,,
1938-39
1939–40,La Liga,9th,22,8,3,11,32,38,19,QF,,,,,Herrerita,8
1939–40,Camp. Cat.,3rd,10,5,0,5,29,20,10,QF,,,,,Herrerita,8
1940–41,La Liga,4th,22,13,1,8,55,45,27,R16,,,,,Martín,12
1941–42,La Liga,12th,26,8,3,15,57,66,19,C,,,,,Martín,17
1942–43,La Liga,3rd,26,14,4,8,77,50,32,SF,,,,,Martín,30
1943–44,La Liga,6th,26,10,8,8,59,46,28,R16,,,,,Martín,24
1944–45,La Liga,1st,26,17,5,4,50,30,39,R16,,,,,Escolà,16
1945–46,La Liga,2nd,26,14,7,5,48,31,35,R16,,,,,César,11
1946–47,La Liga,4th,26,14,3,9,59,42,31,QF,,,,,"César, Seguer",10
1947–48,La Liga,1st,26,15,7,4,65,31,37,R16,,,,,César,19
1948–49,La Liga,1st,26,16,5,5,66,36,37,SF,,,Copa Eva Duarte,C,César,28
1949–50,La Liga,5th,26,13,3,10,67,47,29,R16,,,Copa Eva Duarte,F,César,19
1950–51,La Liga,4th,30,16,3,11,83,61,35,C,,,,,César,29
1951–52,La Liga,1st,30,19,5,6,92,43,43,C,,,Copa Eva Duarte,F,Kubala,26
1952–53,La Liga,1st,30,19,4,7,82,43,42,C,,,Copa Eva Duarte[n 10],C,Moreno,22
1953–54,La Liga,2nd,30,16,4,10,74,39,36,F,,,Copa Eva Duarte[n 11],C,Kubala,23
1954–55,La Liga,2nd,30,17,7,6,75,39,41,SF,,,,,"Kubala, Villaverde",14
1955–56,La Liga,2nd,30,22,3,5,67,26,47,QF,Fairs Cup,C,,,Kubala,14
1956–57,La Liga,3rd,30,16,7,7,70,37,39,C,Fairs Cup,C,,,Suárez,13
1957–58,La Liga,3rd,30,17,4,9,69,38,38,SF,Fairs Cup,C,,,Tejada,14
1958–59,La Liga,1st,30,24,3,3,96,26,51,C,Fairs Cup,C,,,Evaristo,20
1959–60,La Liga,1st,30,22,2,6,86,28,46,QF,Fairs Cup,C,,,Martínez,23
1959–60,La Liga,1st,30,22,2,6,86,28,46,QF,European Cup,SF,,,Martínez,23
1960–61,La Liga,4th,30,13,6,11,62,47,32,R16,Fairs Cup,QF,,,Evaristo,11
1960–61,La Liga,4th,30,13,6,11,62,47,32,R16,European Cup,F,,,Evaristo,11
1961–62,La Liga,2nd,30,18,4,8,81,46,40,QF,Fairs Cup,F,,,Evaristo,20
1962–63,La Liga,6th,30,11,9,10,45,36,31,C,Fairs Cup,R16,,,Zaldúa,10
1963–64,La Liga,2nd,30,19,4,7,74,38,42,SF,Cup Winners' Cup,R48,,,Ré,17
1964–65,La Liga,6th,30,14,4,12,59,41,32,QF,Fairs Cup,3R[n 12],,,Ré,25
1965–66,La Liga,3rd,30,16,6,8,51,27,38,SF,Fairs Cup,C,,,Rifé,9
1966–67,La Liga,2nd,30,20,2,8,58,29,42,R16,Fairs Cup,R16,,,"Fusté, Zaballa",10
1967–68,La Liga,2nd,30,15,9,6,48,29,39,C,Fairs Cup,R48,,,Zaldúa,12
1968–69,La Liga,3rd,30,13,10,7,40,18,36,R16,Cup Winners' Cup,F,,,Zaldúa,11
1969–70,La Liga,4th,30,13,9,8,40,31,35,QF,Fairs Cup,R16,,,Rexach,7
1970–71,La Liga,2nd,30,19,5,6,50,22,43,C,Fairs Cup,R16,,,Rexach,17
1971–72,La Liga,3rd,34,17,9,8,40,26,43,QF,Cup Winners' Cup,R16,,,Asensi,9
1972–73,La Liga,2nd,34,18,10,6,41,21,46,R16,UEFA Cup,R48,,,Barrios,8
1973–74,La Liga,1st,34,21,8,5,75,24,50,F,UEFA Cup,R48,,,Marcial,17
1974–75,La Liga,3rd,34,15,7,12,57,36,37,QF,European Cup,SF,,,Clares,10
1975–76,La Liga,2nd,34,18,7,9,61,41,43,QF,UEFA Cup,SF,,,Neeskens,12
1976–77,La Liga,2nd,34,18,9,7,69,34,45,R16,UEFA Cup,QF,,,Clares,22
1977–78,La Liga,2nd,34,16,9,9,49,29,41,C,UEFA Cup,SF,,,"Rexach, Asensi",9
1978–79,La Liga,5th,34,16,6,12,69,37,38,R16,Cup Winners' Cup,C,,,Krankl,29
1979–80,La Liga,4th,34,13,12,9,42,33,38,R16,Cup Winners' Cup,QF,UEFA Super Cup,F,Simonsen,10
1980–81,La Liga,5th,34,18,5,11,66,41,41,C,UEFA Cup,R16,,,Quini,20
1981–82,La Liga,2nd,34,19,7,8,75,40,45,R16,Cup Winners' Cup,C,,,Quini,27
1982–83,La Liga,4th,34,17,10,7,60,29,44,C,Cup Winners' Cup,QF,UEFA Super Cup,F,Maradona,11
1982–83,La Liga,4th,34,17,10,7,60,29,44,C,Cup Winners' Cup,QF,League Cup,C,Maradona,11
1983–84,La Liga,3rd,34,20,8,6,62,28,48,F,Cup Winners' Cup,QF,Supercopa de España,C,Marcos,12
1984–85,La Liga,1st,34,21,11,2,69,25,53,QF,Cup Winners' Cup,R32,,,Archibald,15
1985–86,La Liga,2nd,34,18,9,7,61,36,45,F,European Cup,F,Supercopa de España,F,Schuster,10
1985–86,La Liga,2nd,34,18,9,7,61,36,45,F,European Cup,F,League Cup,C,Schuster,10
1986–87,La Liga,2nd,34,18,13,3,51,22,49,R16,UEFA Cup,QF,,,Lineker,20
1987–88,La Liga,6th,38,15,9,14,49,44,39,C,UEFA Cup,QF,,,Lineker,16
1988–89,La Liga,2nd,38,23,11,4,80,26,57,QF,Cup Winners' Cup,C,Supercopa de España,F,Salinas,20
1989–90,La Liga,3rd,38,23,5,10,83,39,51,C,Cup Winners' Cup,R16,UEFA Super Cup,F,Salinas,15
1990–91,La Liga,1st,38,25,7,6,74,33,57,SF,Cup Winners' Cup,F,Supercopa de España,F,Stoichkov,14
1991–92,La Liga,1st,38,23,9,6,87,37,55,R16,European Cup,C,Supercopa de España,C,Stoichkov,17
1992–93,La Liga,1st,38,25,8,5,87,34,58,SF,Champions League,R16,Supercopa de España,C,Stoichkov,20
1992–93,La Liga,1st,38,25,8,5,87,34,58,SF,Champions League,R16,UEFA Super Cup,C,Stoichkov,20
1992–93,La Liga,1st,38,25,8,5,87,34,58,SF,Champions League,R16,Intercontinental Cup,F,Stoichkov,20
1993–94,La Liga,1st,38,25,6,7,91,42,56,QF,Champions League,F,Supercopa de España,F,Romario,30
1994–95,La Liga,4th,38,18,10,10,60,45,46,R16,Champions League,QF,Supercopa de España,C,"Stoichkov, Cruyff, Koeman",9
1995–96,La Liga,3rd,42,22,14,6,72,39,80,F,UEFA Cup,SF,,,García,10
1996–97,La Liga,2nd,42,28,6,8,102,48,90,C,Cup Winners' Cup,C,Supercopa de España,C,Ronaldo,34[n 13]
1997–98,La Liga,1st,38,23,5,10,78,56,74,C,Champions League,GS,Supercopa de España,F,Rivaldo,19
1997–98,La Liga,1st,38,23,5,10,78,56,74,C,Champions League,GS,UEFA Super Cup,C,Rivaldo,19
1998–99,La Liga,1st,38,24,7,7,87,43,79,QF,Champions League,GS,Supercopa de España,F,Rivaldo,24
1999–2000,La Liga,2nd,38,19,7,12,70,46,64,SF,Champions League,SF,Supercopa de España,F,Kluivert,15
2000–01,La Liga,4th,38,17,12,9,80,57,63,SF,Champions League,GS,,,Rivaldo,23
2000–01,La Liga,4th,38,17,12,9,80,57,63,SF,UEFA Cup,SF,,,Rivaldo,23
2001–02,La Liga,4th,38,18,10,10,65,37,64,R64,Champions League,SF,,,Kluivert,18
2002–03,La Liga,6th,38,15,11,12,63,47,56,R64,Champions League,QF,,,Kluivert,16
2003–04,La Liga,2nd,38,21,9,8,63,39,72,QF,UEFA Cup,R16,,,Ronaldinho,15
2004–05,La Liga,1st,38,25,9,4,73,29,84,R64,Champions League,R16,,,Eto'o,25
2005–06,La Liga,1st,38,25,7,6,80,35,82,QF,Champions League,C,Supercopa de España,C,Eto'o,26
2006–07,La Liga,2nd,38,22,10,6,78,33,76,SF,Champions League,R16,Supercopa de España,C,Ronaldinho,21
2006–07,La Liga,2nd,38,22,10,6,78,33,76,SF,Champions League,R16,UEFA Super Cup,F,Ronaldinho,21
2006–07,La Liga,2nd,38,22,10,6,78,33,76,SF,Champions League,R16,FIFA Club World Cup,F,Ronaldinho,21
2007–08,La Liga,3rd,38,19,10,9,76,43,67,SF,Champions League,SF,,,Eto'o,16
2008–09,La Liga,1st,38,27,6,5,105,35,87,C,Champions League,C,,,Eto'o,30
2009–10,La Liga,1st,38,31,6,1,98,24,99,R16,Champions League,SF,Supercopa de España,C,Messi,34[n 14]
2009–10,La Liga,1st,38,31,6,1,98,24,99,R16,Champions League,SF,UEFA Super Cup,C,Messi,34[n 14]
2009–10,La Liga,1st,38,31,6,1,98,24,99,R16,Champions League,SF,FIFA Club World Cup,C,Messi,34[n 14]
2010–11,La Liga,1st,38,30,6,2,95,21,96,F,Champions League,C,Supercopa de España,C,Messi,31
2011–12,La Liga,2nd,38,28,7,3,114,29,91,C,Champions League,SF,Supercopa de España,C,Messi,50[n 15]
2011–12,La Liga,2nd,38,28,7,3,114,29,91,C,Champions League,SF,UEFA Super Cup,C,Messi,50[n 15]
2011–12,La Liga,2nd,38,28,7,3,114,29,91,C,Champions League,SF,FIFA Club World Cup,C,Messi,50[n 15]
2012–13,La Liga,1st,38,32,4,2,115,40,100,SF,Champions League,SF,Supercopa de España,F,Messi,46[n 16]
2013–14,La Liga,2nd,38,27,6,5,100,33,87,F,Champions League,QF,Supercopa de España,C,Messi,28
2014–15,La Liga,1st,38,30,4,4,110,21,94,C,Champions League,C,,,Messi,43
2015–16,La Liga,1st,38,29,4,5,112,29,91,C,Champions League,QF,Supercopa de España,F,Suárez,40[n 17]
2015–16,La Liga,1st,38,29,4,5,112,29,91,C,Champions League,QF,UEFA Super Cup,C,Suárez,40[n 17]
2015–16,La Liga,1st,38,29,4,5,112,29,91,C,Champions League,QF,FIFA Club World Cup,C,Suárez,40[n 17]
2016–17,La Liga,2nd,38,28,6,4,116,37,90,C,Champions League,QF,Supercopa de España,C,Messi,37[n 18]
2017–18,La Liga,1st,38,28,9,1,99,29,93,C,Champions League,QF,Supercopa de España,F,Messi,34[n 19]
2018–19,La Liga,1st,38,26,9,3,90,36,87,F,Champions League,SF,Supercopa de España,C,Messi,36[n 20]
